store_id,date,revenue,transactions
1001,2025-03-02,1065.68,42
1001,2025-03-03,648.96,31
1001,2025-03-04,593.81,36
1001,2025-03-05,698.61,32
1001,2025-03-06,700.74,30
1001,2025-03-07,646.7,41
1001,2025-03-08,764.13,37
1001,2025-03-09,1186.81,47
1001,2025-03-10,735.56,28
1001,2025-03-11,625.61,33
1001,2025-03-12,620.98,29
1001,2025-03-13,530.92,31
1001,2025-03-14,475.38,29
1001,2025-03-15,634.04,40
1001,2025-03-16,629.78,34
1001,2025-03-17,535.61,32
1001,2025-03-18,521.32,25
1001,2025-03-19,307.0,20
1001,2025-03-20,550.18,36
1001,2025-03-21,447.1,24
1001,2025-03-22,959.77,43
1001,2025-03-23,42.32,0
1001,2025-03-24,85.35,28
1001,2025-03-25,433.11,28
1001,2025-03-26,768.25,33
1001,2025-03-27,814.35,33
1001,2025-03-28,754.06,33
1001,2025-03-29,731.62,39
1001,2025-03-30,832.35,37
1001,2025-03-31,566.85,34
1001,2025-04-01,450.52,24
1001,2025-04-02,719.7,34
1001,2025-04-03,666.15,36
1001,2025-04-04,706.33,33
1001,2025-04-05,1023.22,48
1001,2025-04-06,687.0,41
1001,2025-04-07,585.96,31
1001,2025-04-08,517.9,23
1001,2025-04-09,499.35,29
1001,2025-04-10,581.69,35
1001,2025-04-11,583.0,29
1001,2025-04-12,1182.86,43
1001,2025-04-13,764.82,38
1001,2025-04-14,690.2,34
1001,2025-04-15,751.35,33
1001,2025-04-16,429.06,23
1001,2025-04-17,444.22,28
1001,2025-04-18,573.52,29
1001,2025-04-19,891.18,48
1001,2025-04-20,893.48,40
1001,2025-04-21,749.5,39
1001,2025-04-22,597.44,37
1001,2025-04-23,498.29,29
1001,2025-04-24,871.1,37
1001,2025-04-25,562.71,37
1001,2025-04-26,750.2,41
1001,2025-04-27,886.08,38
1001,2025-04-28,820.7,36
1001,2025-04-29,407.41,25
1001,2025-04-30,749.59,37
1001,2025-05-01,411.28,21
1001,2025-05-02,615.68,48
1001,2025-05-03,937.99,42
1001,2025-05-04,466.86,36
1001,2025-05-05,732.68,37
1001,2025-05-06,530.11,27
